,Date,Model Prediction,Actual Value
3037,2023-01-15,21466.072,20880.798828125
3038,2023-01-16,22056.625,21169.6328125
3039,2023-01-17,22515.705,21161.51953125
3040,2023-01-18,22313.678,20688.78125
3041,2023-01-19,21762.986,21086.79296875
3042,2023-01-20,21794.547,22676.552734375
3043,2023-01-21,22349.791,22777.625
3044,2023-01-22,23021.592,22720.416015625
3045,2023-01-23,23521.588,22934.431640625
3046,2023-01-24,23455.867,22636.46875
3047,2023-01-25,23330.168,23117.859375
3048,2023-01-26,23162.967,23032.77734375
3049,2023-01-27,22931.195,23078.728515625
3050,2023-01-28,22882.287,23031.08984375
3051,2023-01-29,23132.43,23774.56640625
3052,2023-01-30,23350.104,22840.138671875
3053,2023-01-31,23247.537,23139.283203125
3054,2023-02-01,23298.826,23723.76953125
3055,2023-02-02,23717.672,23471.87109375
3056,2023-02-03,23722.393,23449.322265625
3057,2023-02-04,23735.432,23331.84765625
3058,2023-02-05,23614.143,22955.666015625
3059,2023-02-06,23298.527,22760.109375
3060,2023-02-07,23107.32,23264.291015625
3061,2023-02-08,22987.947,22939.3984375
3062,2023-02-09,22793.559,21819.0390625
3063,2023-02-10,22262.006,21651.18359375
3064,2023-02-11,21863.797,21870.875
3065,2023-02-12,21680.064,21788.203125
3066,2023-02-13,21640.977,21808.1015625
3067,2023-02-14,21838.178,22220.8046875
3068,2023-02-15,22504.56,24307.841796875
3069,2023-02-16,23656.771,23623.474609375
3070,2023-02-17,24327.662,24565.6015625
3071,2023-02-18,25056.082,24641.27734375
3072,2023-02-19,25233.586,24327.642578125
3073,2023-02-20,25169.729,24829.1484375
3074,2023-02-21,24919.033,24436.353515625
3075,2023-02-22,24585.04,24188.84375
3076,2023-02-23,24481.326,23947.4921875
3077,2023-02-24,24178.201,23198.126953125
3078,2023-02-25,23753.861,23175.375
3079,2023-02-26,23438.014,23561.212890625
3080,2023-02-27,23555.291,23522.87109375
3081,2023-02-28,23673.555,23147.353515625
3082,2023-03-01,23767.123,23646.55078125
3083,2023-03-02,23951.223,23475.466796875
3084,2023-03-03,23772.383,22362.6796875
3085,2023-03-04,23190.592,22353.349609375
3086,2023-03-05,22764.648,22435.513671875
3087,2023-03-06,22291.455,22429.7578125
3088,2023-03-07,22203.914,22219.76953125
3089,2023-03-08,22162.74,21718.080078125
3090,2023-03-09,21737.904,20363.021484375
3091,2023-03-10,21053.568,20187.244140625
3092,2023-03-11,20484.555,20632.41015625
3093,2023-03-12,20524.203,22163.94921875
3094,2023-03-13,21686.383,24197.533203125
3095,2023-03-14,23612.895,24746.07421875
3096,2023-03-15,25107.262,24375.9609375
3097,2023-03-16,25760.29,25052.7890625
3098,2023-03-17,26316.31,27423.9296875
3099,2023-03-18,27091.068,26965.87890625
3100,2023-03-19,27513.482,28038.67578125
3101,2023-03-20,28005.03,27767.236328125
3102,2023-03-21,28089.77,28175.81640625
3103,2023-03-22,27756.264,27307.4375
3104,2023-03-23,27564.213,28333.97265625
3105,2023-03-24,27640.648,27493.28515625
3106,2023-03-25,27470.594,27494.70703125
3107,2023-03-26,27384.664,27994.330078125
3108,2023-03-27,27503.855,27139.888671875
3109,2023-03-28,27289.348,27268.130859375
3110,2023-03-29,27395.348,28348.44140625
3111,2023-03-30,27732.334,28033.5625
3112,2023-03-31,28085.49,28478.484375
3113,2023-04-01,28465.83,28411.03515625
3114,2023-04-02,28640.402,28199.30859375
3115,2023-04-03,28302.324,27790.220703125
3116,2023-04-04,27987.113,28168.08984375
3117,2023-04-05,28123.438,28177.984375
3118,2023-04-06,28128.797,28044.140625
3119,2023-04-07,28137.512,27925.859375
3120,2023-04-08,28255.54,27947.794921875
